timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1512744060508,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-369,text,false,,2131,0,384,384,0,0,1001
1512744060509,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-376,text,false,,2131,0,383,383,0,0,1002
1512744060514,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-362,text,false,,2131,0,382,382,0,0,1001
1512744060515,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-363,text,false,,2131,0,381,381,0,0,1004
1512744060516,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-373,text,false,,2131,0,381,381,0,0,1003
1512744060517,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-380,text,false,,2131,0,379,379,0,0,1003
1512744060520,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-381,text,false,,2131,0,378,378,0,0,1003
1512744060522,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-366,text,false,,2131,0,378,378,0,0,1001
1512744060523,1000,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-367,text,false,,2131,0,376,376,0,0,1000
1512744060522,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-377,text,false,,2131,0,375,375,0,0,1004
1512744060525,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-384,text,false,,2131,0,374,374,0,0,1002
1512744060532,1010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-385,text,false,,2131,0,373,373,0,0,1010
1512744060534,1008,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-388,text,false,,2131,0,373,373,0,0,1008
1512744060532,1010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-371,text,false,,2131,0,373,373,0,0,1010
1512744060532,1010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-370,text,false,,2131,0,373,373,0,0,1010
1512744060536,1006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-389,text,false,,2131,0,369,369,0,0,1006
1512744060543,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-392,text,false,,2131,0,368,368,0,0,1001
1512744060544,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-393,text,false,,2131,0,367,367,0,0,1003
1512744060560,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-400,text,false,,2131,0,366,366,0,0,1002
1512744060562,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-396,text,false,,2131,0,365,365,0,0,1001
